C7_2025-05-14,13:25:53.514
SCCM,int
200,1015.0
190,992.2
180,969.0
170,944.0
160,918.0
150,891.0
140,862.2
130,832.0
120,800.1
110,766.9
100,731.3
90,693.9
80,654.0
70,611.7
60,565.9
55,541.8
50,516.5
45,489.9
40,461.9
35,432.0
30,400.5
25,367.7
20,333.8
15,299.2
13,285.5
10,264.9
7,244.4
5,231.0
3,217.6
1,204.2
0,198.3
