C8_2025-05-15,15:53:27.219
SCCM,int
200,1015.7
190,993.0
180,969.8
170,944.8
160,918.2
150,891.0
140,861.9
130,831.0
120,798.6
110,764.5
100,728.5
90,690.6
80,650.6
70,608.1
60,562.8
55,538.9
50,513.9
45,487.8
40,460.1
35,430.9
30,400.1
25,368.0
20,334.8
15,300.8
13,286.9
10,266.0
7,245.1
5,231.1
3,217.2
1,203.4
0,196.9
