C4_2025-05-08,19:51:22.398
SCCM,int
200,1007.1
190,985.0
180,962.0
170,937.6
160,911.9
150,885.1
140,856.9
130,826.8
120,795.1
110,762.0
100,727.0
90,689.9
80,650.9
70,609.2
60,564.3
55,540.8
50,516.0
45,490.0
40,462.4
35,433.0
30,402.1
25,369.8
20,336.3
15,302.5
13,288.9
10,268.6
7,248.4
5,235.1
3,221.9
1,208.8
0,202.3
