C3_2025-05-08,18:49:19.343
SCCM,int
200,1016.0
190,994.0
180,971.0
170,946.7
160,921.0
150,894.6
140,866.3
130,836.3
120,805.0
110,771.7
100,736.2
90,698.9
80,659.0
70,617.0
60,571.2
55,547.0
50,522.0
45,495.5
40,467.4
35,437.7
30,406.2
25,373.3
20,339.2
15,304.5
13,290.4
10,269.3
7,248.2
5,234.3
3,220.2
1,206.7
0,199.9
