C5_2025-05-08,20:34:33.123
SCCM,int
200,1002.2
190,981.0
180,958.0
170,934.0
160,908.5
150,882.0
140,853.6
130,823.7
120,792.1
110,759.0
100,724.0
90,687.0
80,647.6
70,605.9
60,560.6
55,536.8
50,511.8
45,485.5
40,457.7
35,428.0
30,397.0
25,364.1
20,330.7
15,296.6
13,282.9
10,262.8
7,242.9
5,229.8
3,216.9
1,204.0
0,197.4
